name,DFT-per,GCN-per
LORMOU01_FSR_relaxed,4.444357872,4.511526585
HAWYUB_FSR_relaxed,2.397710085,2.315565348
UNEQOU_FSR_relaxed,0.149763003,0.392990232
HEQTAB_FSR_relaxed,2.983165026,2.856774569
GAXGOD_FSR_relaxed,0.406946987,0.700232029
PIDZEI_FSR_relaxed,0.050972998,0.761629105
OLOQOV_FSR_relaxed,0.912706971,1.194985867
OXUNUR_FSR_relaxed,2.613095045,2.568559647
NATREH02_FSR_relaxed,2.424578905,2.862885237
CUQDOH_freeONLY_relaxed,3.325261116,3.243048906
JOFQOM_FSR_relaxed,4.489548206,4.520395279
EQOXUF_FSR_relaxed,3.187305927,2.981564522
ROWVUW_FSR_relaxed,0.353581011,0.502933383
COKLEV_FSR_relaxed,2.988837004,3.178533316
RUHJAH_FSR_relaxed,2.776215076,2.167855263
CIGCEC_FSR_relaxed,3.07643795,3.462671757
CEVQIE_FSR_relaxed,2.463736057,2.488448143
YOVZAL_FSR_relaxed,0.975489974,0.938484669
LAWDUJ_FSR_relaxed,1.734552979,0.702209473
OSOMEP_FSR_relaxed,1.484874964,2.306067467
FIPFIU03_FSR_relaxed,2.613833904,2.653425694
HOSMEK_FSR_relaxed,2.306921959,2.447952271
YUKWUY_FSR_relaxed,2.715150118,2.870328188
UVEVAT_freeONLY_relaxed,0.743843019,0.58387804
KITGUQ_FSR_relaxed,2.201029062,2.49565196
IMADUW_FSR_relaxed,1.326349974,1.178771973
DUBGAJ_FSR_relaxed,2.226069927,2.675772429
MIPQAF_FSR_relaxed,1.653735042,1.523509026
FURQOZ01_FSR_relaxed,1.811283946,1.824000835
OPOBIF_freeONLY_relaxed,3.547616005,3.307351112
LAWLEC_FSR_relaxed,0.986046016,1.954099059
EQADEH_FSR_relaxed,2.744824886,2.175991535
BAXGEO01_FSR_relaxed,0.450127989,0.248864055
DOLXOR02_freeONLY_relaxed,0.212348998,0.384422779
RAPVAF02_FSR_relaxed,3.310103893,3.831024408
PAZKEG_FSR_relaxed,2.847126961,2.927093506
OWOKOC_FSR_relaxed,2.089595079,2.527614355
VEXPAS_FSR_relaxed,2.115936995,2.241618156
AXUVAS_FSR_relaxed,3.218648911,3.344207525
DAWPOI_FSR_relaxed,3.12897706,3.054163218
PYZCUA11_FSR_relaxed,0.630934,0.485229135
ORAPUT_FSR_relaxed,0.719223022,0.316292405
DEHYAS_FSR_relaxed,3.205472946,3.113889217
GALSER_FSR_relaxed,4.031186104,3.64292717
AYODIC_FSR_relaxed,1.408305049,1.450531721
YEBBEN_FSR_relaxed,2.857549906,2.940139771
OJANAP_FSR_relaxed,2.98815608,2.20237422
CAQVEY_FSR_relaxed,3.220515966,2.743643761
VAGXOS_FSR_relaxed,4.468820095,3.351352453
FAYQUS_FSR_relaxed,3.048851967,2.673720837
CUBMUJ_FSR_relaxed,3.029398918,2.986395597
MEGZII_FSR_relaxed,2.59861207,2.289297104
XIHRIQ_FSR_relaxed,0.434410989,0.399670362
MIPPEI_FSR_relaxed,2.400319099,1.983249664
NIKBUF_FSR_relaxed,2.256285906,1.762993336
DINNIZ_FSR_relaxed,1.688964009,1.998030066
GOBRUL_FSR_relaxed,1.64743197,2.321485281
VOJSUJ_FSR_relaxed,1.085798025,0.537594676
FIBSOZ_FSR_relaxed,0.816950977,1.123746514
OSUMOG01_FSR_relaxed,2.59050107,2.782290936
WINHIM_FSR_relaxed,1.221218944,1.285056353
LARGIX_FSR_relaxed,1.648947001,2.179730654
SOVKUK_FSR_relaxed,1.803537965,2.306546688
COKNUL_FSR_relaxed,0.63410002,0.538378954
DEYMIF_FSR_relaxed,0.046765,2.640319824
VANGIB_FSR_relaxed,1.041942,1.150664568
RUYQOT_freeONLY_relaxed,2.296413898,1.955600977
LATRIK_FSR_relaxed,2.969485998,2.887236595
NIWKEK_FSR_relaxed,2.390501976,2.496941328
AMBRCD_FSR_relaxed,1.524325013,1.812312245
FAFHUS_FSR_relaxed,4.579176903,4.510475159
BAWKUH_FSR_relaxed,0.763686001,0.73456955
LEDZIG_FSR_relaxed,1.991037965,2.207092285
CUGFUH_FSR_relaxed,0.408012003,0.387759805
NIJVEJ_FSR_relaxed,0.436363995,0.39819777
QUPXUW_FSR_relaxed,2.406904936,2.286737919
GONVAG_FSR_relaxed,3.772111893,3.62593317
FEBRIP_FSR_relaxed,3.719161034,4.162169456
BADLOK_FSR_relaxed,0.337954998,0.821707487
YUGZEG_FSR_relaxed,0.179131001,0.394534588
ZAWCAE_FSR_relaxed,4.664509773,4.398639679
JICCUW_FSR_relaxed,1.753347039,1.897429943
NIRDEY_FSR_relaxed,1.346997976,1.257621884
FERDOY_FSR_relaxed,2.605561972,3.373422623
QAGDIO_FSR_relaxed,0.340761006,0.516910911
UVUKIH_FSR_relaxed,2.67512989,2.730134487
DIXFOH_FSR_relaxed,1.641824961,2.110132456
KACJAB_FSR_relaxed,1.871567965,2.105159044
UFAFUD_FSR_relaxed,4.640875816,4.056454182
MURFAI_FSR_relaxed,2.834913969,3.098791599
GEZSIQ_FSR_relaxed,2.044879913,2.408771515
APONIE_FSR_relaxed,0.489134014,0.446547985
YITWAB_FSR_relaxed,2.434861898,2.309028387
CEHPOV_FSR_relaxed,0.828045011,0.650566697
LOLQIM_FSR_relaxed,3.51027894,3.301903963
NEWROY_FSR_relaxed,2.898304939,2.836476564
VOHSIU_FSR_relaxed,3.444097042,3.982642651
EJISOG_FSR_relaxed,3.590790033,2.962540627
SABWAU01_FSR_relaxed,2.63391304,3.163844109
NODCOZ_FSR_relaxed,2.917368889,2.677157402
TEJNON_FSR_relaxed,2.631645918,2.678741455
CAYSEB01_FSR_relaxed,3.073652029,3.049502611
HEDWEV_FSR_relaxed,4.041666031,3.782696009
MOHSAF01_FSR_relaxed,2.695844889,2.624358177
QOBNOM_FSR_relaxed,3.03096509,2.917370081
KAZHEZ_FSR_relaxed,1.643942952,1.294830084
NOGMIG_FSR_relaxed,5.28927803,4.652859688
FESBAJ_FSR_relaxed,0.901524007,0.613913536
FICKEJ_FSR_relaxed,2.620580912,2.64578557
QADDUX_FSR_relaxed,1.382264972,1.241224527
XIDBUJ_FSR_relaxed,1.950837016,2.166261435
IDORID_FSR_relaxed,1.818379045,1.330651999
DECBAQ_FSR_relaxed,0.129124001,0.494612813
ELIMOC_FSR_relaxed,0.082434997,0.393411756
EBOCOQ_FSR_relaxed,1.477830052,1.400459647
WIJDAV_freeONLY_relaxed,3.109699011,3.23773098
SOJMAH_FSR_relaxed,1.195451975,1.801842928
LEVPAG_FSR_relaxed,1.999078989,2.022858143
OFOCIY_FSR_relaxed,1.238523006,0.855334997
OKEWUX_FSR_relaxed,0.721598029,0.866461873
FAHMUY_FSR_relaxed,2.72894001,3.0216856
AGUMUL_FSR_relaxed,0.725196004,0.650040388
DEBXEQ_FSR_relaxed,3.189136982,3.293437004
BOMDIS_FSR_relaxed,2.780713081,2.495508671
OCOKIC_FSR_relaxed,3.64272809,3.397643089
REZLUF_FSR_relaxed,3.983369112,3.305345058
KERFOD_FSR_relaxed,2.123014927,2.061932564
EMANOV_FSR_relaxed,0.500521004,0.394954443
EFEGOM_FSR_relaxed,0.155607998,0.271459699
VENFOM_FSR_relaxed,2.730573893,2.59668684
PAGQEU_FSR_relaxed,2.87349391,2.88710475
RAPYOY_FSR_relaxed,2.496855021,2.718829393
INOVEN_freeONLY_relaxed,1.373365998,1.66960597
HIFVUO01_freeONLY_relaxed,4.667466164,4.519845963
CDMALD_FSR_relaxed,3.491231918,3.598319054
