name,DFT-per,GCN-per,DFT-all,GCN-all
MEYLUZ_FSR_relaxed,-6.611048698,-6.619348526,-581.7722855,-582.5026703
HOCCOS_FSR_relaxed,-6.115809441,-6.117869377,-929.603035,-929.9161453
WECLIC_FSR_relaxed,-5.832606792,-5.839047432,-396.6172619,-397.0552254
HUCFIV_FSR_relaxed,-6.995568275,-6.993317127,-349.7784138,-349.6658564
GIQYOV_FSR_relaxed,-6.122289658,-6.124256134,-624.4735451,-624.6741257
QEYWEX_FSR_relaxed,-6.910765171,-6.92013216,-621.9688654,-622.8118944
PEKCOX01_FSR_relaxed,-6.197595596,-6.189369678,-471.0172653,-470.3920956
POLMEJ_FSR_relaxed,-5.880124092,-5.882986546,-564.4919128,-564.7667084
NULXUO_FSR_relaxed,-6.937784672,-6.933887005,-721.5296059,-721.1242485
DAFSOV_FSR_relaxed,-6.999898911,-6.999994278,-769.9888802,-769.9993706
KESMEC_FSR_relaxed,-6.972206116,-6.975645065,-1157.386215,-1157.957081
EXELOJ_FSR_relaxed,-6.79552269,-6.796046257,-829.0537682,-829.1176434
TACZUU_FSR_relaxed,-6.016282082,-6.015362263,-312.8466682,-312.7988377
CUFGOB_FSR_relaxed,-6.630327702,-6.62296629,-835.4212904,-834.4937525
TALKIB_FSR_relaxed,-6.774947643,-6.779401779,-433.5966492,-433.8817139
CISXAE_FSR_relaxed,-7.263625145,-7.26649189,-639.1990128,-639.4512863
CIJBEF_FSR_relaxed,-6.613500595,-6.619590282,-1507.878136,-1509.266584
SEJBAL_freeONLY_relaxed,-6.8782897,-6.884185791,-543.3848863,-543.8506775
LOZXAB_FSR_relaxed,-6.899569511,-6.905921459,-579.563839,-580.0974026
PILWIS_FSR_relaxed,-6.790518761,-6.789021015,-1276.617527,-1276.335951
FUFPOL_FSR_relaxed,-6.834821224,-6.848146915,-198.2098155,-198.5962605
IGUFEV_FSR_relaxed,-6.817812443,-6.819442272,-586.3318701,-586.4720354
TEWFUY_freeONLY_relaxed,-7.081880569,-7.071888447,-1727.978859,-1725.540781
WEYDEM_FSR_relaxed,-6.743879318,-6.734902859,-606.9491386,-606.1412573
LAVDIY_FSR_relaxed,-6.867440224,-6.872663975,-782.8881855,-783.4836931
IZATUY_FSR_relaxed,-6.120415688,-6.138081551,-183.6124706,-184.1424465
DUYVAW_FSR_relaxed,-6.283223152,-6.28478241,-942.4834728,-942.7173615
NATGIB_FSR_relaxed,-6.071485043,-6.077886105,-303.5742521,-303.8943052
GEMQAS_FSR_relaxed,-6.902608871,-6.900178432,-773.0921936,-772.8199844
PEWFII01_FSR_relaxed,-7.277115345,-7.275805473,-218.3134604,-218.2741642
LUBKAW_FSR_relaxed,-6.36905241,-6.368781567,-1299.286692,-1299.23144
EWOVET_FSR_relaxed,-6.988587856,-6.997193813,-2285.268229,-2288.082377
BEKMEM_FSR_relaxed,-6.482154846,-6.486750603,-959.3589172,-960.0390892
DUKYUF_FSR_relaxed,-5.854878426,-5.853773594,-491.8097878,-491.7169819
SAWWIW_FSR_relaxed,-5.951813221,-5.958595753,-226.1689024,-226.4266386
QAFMAM_FSR_relaxed,-6.174706459,-6.177312851,-889.1577301,-889.5330505
POFJOK_FSR_relaxed,-6.417952538,-6.416702271,-282.3899117,-282.3348999
WUYWIX_FSR_relaxed,-6.074681282,-6.049753189,-413.0783272,-411.3832169
AZIROQ_FSR_relaxed,-6.459228039,-6.464085102,-930.1288376,-930.8282547
DEKCEE_FSR_relaxed,-7.169995785,-7.171163559,-975.1194267,-975.278244
QUNZUV_FSR_relaxed,-6.695588112,-6.689436436,-194.1720552,-193.9936566
PIGBOZ_FSR_relaxed,-6.631481171,-6.641151905,-583.570343,-584.4213676
DIFHUY_FSR_relaxed,-6.35936451,-6.355951786,-1195.560528,-1194.918936
GIHHEN_FSR_relaxed,-6.199244022,-6.189894676,-681.9168425,-680.8884144
BADCIU_FSR_relaxed,-6.844487667,-6.837919712,-410.66926,-410.2751827
KASPOL_freeONLY_relaxed,-6.281597137,-6.305464268,-339.2062454,-340.4950705
PAYTUG_FSR_relaxed,-6.761799812,-6.756746292,-662.6563816,-662.1611366
CEBFUL01_FSR_relaxed,-6.469621658,-6.460754395,-608.1444359,-607.3109131
WOBZOE_FSR_relaxed,-6.706462383,-6.701931,-335.3231192,-335.09655
FIKSAV_FSR_relaxed,-7.232950687,-7.228795528,-969.2153921,-968.6586008
CUSTIU_FSR_relaxed,-6.732180595,-6.730703354,-740.5398655,-740.3773689
MUNJEK_FSR_relaxed,-5.807585716,-5.819074631,-290.3792858,-290.9537315
ZURLAB_FSR_relaxed,-6.879920483,-6.892983913,-2063.976145,-2067.895174
NATCER_FSR_relaxed,-6.798164845,-6.794482231,-489.4678688,-489.2027206
OGUPOW_FSR_relaxed,-6.931796551,-6.932925224,-2606.355503,-2606.779884
DOPLEB_FSR_relaxed,-6.865840435,-6.860769272,-686.5840435,-686.0769272
HADDOI_FSR_relaxed,-6.604874134,-6.605676174,-2179.608464,-2179.873137
XEBMIA_FSR_relaxed,-6.078662872,-6.080378532,-364.7197723,-364.8227119
FOHMAQ_FSR_relaxed,-5.999881744,-6.005917549,-623.9877014,-624.6154251
PIMJAZ_FSR_relaxed,-6.375606537,-6.370290279,-452.6680641,-452.2906098
XUJDAI03_FSR_relaxed,-5.167808533,-5.169683456,-206.7123413,-206.7873383
LONVER_FSR_relaxed,-7.58087492,-7.595319748,-409.3672457,-410.1472664
UGOREN_FSR_relaxed,-6.682104111,-6.692250729,-828.5809097,-829.8390903
CUGFAN01_FSR_relaxed,-6.900119781,-6.901333809,-510.6088638,-510.6987019
DITJEY_FSR_relaxed,-7.24588728,-7.256563187,-1043.407768,-1044.945099
WOLMEQ_FSR_relaxed,-6.781943798,-6.773692131,-447.6082907,-447.0636806
TEDZIN_FSR_relaxed,-6.598925114,-6.606682301,-554.3097095,-554.9613132
LOXZUV01_FSR_relaxed,-6.38870573,-6.380452633,-396.0997553,-395.5880632
OJENUO_FSR_relaxed,-6.596387386,-6.566874504,-211.0843964,-210.1399841
AMOYOR_FSR_relaxed,-6.700289726,-6.699512482,-817.4353466,-817.3405228
FEJGAD01_FSR_relaxed,-6.419587135,-6.419412613,-654.7978878,-654.7800865
BEJYUN_FSR_relaxed,-6.860151768,-6.853565693,-1749.338701,-1747.659252
LUPZUS_FSR_relaxed,-6.849975586,-6.855899811,-753.4973145,-754.1489792
CUWRES_FSR_relaxed,-6.771316528,-6.775635242,-365.6510925,-365.8843031
OGUMUZ_FSR_relaxed,-6.591079235,-6.58220911,-580.0149727,-579.2344017
RUPXIK_FSR_relaxed,-6.422553062,-6.423785686,-642.2553062,-642.3785686
HASQUQ_FSR_relaxed,-6.589828968,-6.59474659,-579.9049492,-580.3376999
FIMMUL_FSR_relaxed,-6.984441757,-6.986015797,-921.946312,-922.1540852
BAPJAG_FSR_relaxed,-7.478151321,-7.472496986,-523.4705925,-523.074789
TEBCEK_freeONLY_relaxed,-6.873362064,-6.877484798,-749.196465,-749.645843
WEDQED_freeONLY_relaxed,-6.684635639,-6.686410427,-1443.881298,-1444.264652
KAYCOE_FSR_relaxed,-6.747564316,-6.750518799,-296.8928299,-297.0228271
OHUVIY_FSR_relaxed,-6.670587063,-6.666923046,-213.458786,-213.3415375
FIZBEV01_FSR_relaxed,-6.555165291,-6.561119556,-655.5165291,-656.1119556
QURGUH_FSR_relaxed,-6.220511436,-6.229744911,-1380.953539,-1383.00337
WICWUB_FSR_relaxed,-6.963222504,-6.957955837,-619.7268028,-619.2580695
DOTHUR_FSR_relaxed,-6.557070255,-6.557704926,-885.2044845,-885.2901649
KIQKUQ_FSR_relaxed,-7.144459248,-7.160830498,-314.3562069,-315.0765419
VONPUL_FSR_relaxed,-5.809773922,-5.817092896,-255.6300526,-255.9520874
NIRDAU_FSR_relaxed,-6.293124199,-6.291867256,-585.2605505,-585.1436548
GOJHUJ_FSR_relaxed,-6.732514858,-6.727866173,-915.6220207,-914.9897995
AQIFOW_FSR_relaxed,-6.885802746,-6.885953903,-482.0061922,-482.0167732
PACZUQ_freeONLY_relaxed,-6.253549576,-6.351891041,-1238.202816,-1257.674426
CEWCUE_FSR_relaxed,-6.049674511,-6.053486824,-774.3583374,-774.8463135
MEVDID_FSR_relaxed,-6.104132652,-6.10626936,-659.2463264,-659.4770908
OFIYUY_FSR_relaxed,-6.020961285,-6.014389038,-168.586916,-168.4028931
XAZFEM_FSR_relaxed,-6.999536037,-6.998579025,-615.9591713,-615.8749542
ENEDAE_FSR_relaxed,-6.629190445,-6.619887829,-517.0768547,-516.3512506
TEJSAE_FSR_relaxed,-6.581589699,-6.584369659,-276.4267673,-276.5435257
OLAVOO_FSR_relaxed,-6.826802731,-6.825281143,-1338.053335,-1337.755104
UWEBEF_FSR_relaxed,-5.870792866,-5.859547615,-164.3822002,-164.0673332
CEKHEG_FSR_relaxed,-5.767527103,-5.765077114,-645.9630356,-645.6886368
HORXAN_FSR_relaxed,-6.476725578,-6.46669817,-777.2070694,-776.0037804
NELCEN_FSR_relaxed,-7.005468845,-6.997100353,-574.4484453,-573.762229
RILWEQ_FSR_relaxed,-6.656532288,-6.657273293,-652.3401642,-652.4127827
KOZPUM_FSR_relaxed,-6.613048077,-6.611011505,-740.6613846,-740.4332886
OLOFIF_FSR_relaxed,-7.000491142,-7.001327515,-462.0324154,-462.087616
FIZXIY_FSR_relaxed,-6.980854034,-6.981761456,-1870.868881,-1871.11207
FOHNAT_FSR_relaxed,-6.707119465,-6.699625969,-724.3689022,-723.5596046
QUPVED_FSR_relaxed,-6.786639214,-6.780973911,-895.8363762,-895.0885563
ZOHQUL_FSR_relaxed,-7.482253551,-7.477674961,-673.4028196,-672.9907465
IQOYET_FSR_relaxed,-7.173701763,-7.167291164,-1004.318247,-1003.420763
DETMIB_FSR_relaxed,-6.792126656,-6.807641506,-679.2126656,-680.7641506
ERAQET_FSR_relaxed,-6.937782764,-6.922369003,-672.9649282,-671.4697933
EGUKAV_FSR_relaxed,-7.328250885,-7.328255177,-1641.528198,-1641.52916
XUDHAG_FSR_relaxed,-6.333742142,-6.332565784,-380.0245285,-379.9539471
UFOGEE_FSR_relaxed,-6.927846432,-6.932261467,-678.9289503,-679.3616238
MADWAQ_FSR_relaxed,-6.11600256,-6.114850998,-880.7043686,-880.5385437
PADKOV_FSR_relaxed,-7.138531685,-7.134344101,-513.9742813,-513.6727753
PEDSUN_FSR_relaxed,-6.493887901,-6.499718666,-285.7310677,-285.9876213
FELTEX_FSR_relaxed,-6.546066761,-6.543087482,-589.1460085,-588.8778734
AHAHIB_FSR_relaxed,-6.633784771,-6.632108212,-995.0677156,-994.8162317
DESKIW_FSR_relaxed,-6.656965256,-6.648192406,-346.1621933,-345.7060051
BOYWES_FSR_relaxed,-6.759559631,-6.759758949,-838.1853943,-838.2101097
OVUNID_FSR_relaxed,-6.755320072,-6.753852844,-689.0426474,-688.8929901
SIVWUR_FSR_relaxed,-7.000237942,-6.993757248,-1008.034264,-1007.101044
KUTPAR_FSR_relaxed,-5.806153774,-5.812581062,-499.3292246,-499.8819714
ESADUZ01_FSR_relaxed,-6.565731525,-6.561861038,-446.4697437,-446.2065506
EKOMEX_FSR_relaxed,-7.206108093,-7.202329159,-648.5497284,-648.2096243
WUQRUV_FSR_relaxed,-6.441967487,-6.446464062,-1082.250538,-1083.005962
PUDRIQ_FSR_relaxed,-6.368729591,-6.375600338,-522.2358265,-522.7992277
SAWWOC_FSR_relaxed,-5.924962521,-5.928339005,-450.2971516,-450.5537643
JAXLOK_FSR_relaxed,-6.084727287,-6.077128887,-754.5061836,-753.563982
HUTKIS_FSR_relaxed,-6.569610596,-6.574075699,-696.3787231,-696.8520241
CELZEA_FSR_relaxed,-6.801787853,-6.822920799,-489.7287254,-491.2502975
QAVZIY_FSR_relaxed,-6.765774727,-6.760704517,-1353.154945,-1352.140903
ODEKAK_FSR_relaxed,-6.754383087,-6.749997616,-864.5610352,-863.9996948
XEMKIK_FSR_relaxed,-6.438243866,-6.435044289,-579.4419479,-579.153986
IDEBIE_FSR_relaxed,-6.827087402,-6.82759285,-382.3168945,-382.3451996
QQQFJS01_FSR_relaxed,-6.933477402,-6.940576553,-221.8712769,-222.0984497
SUTJAU_FSR_relaxed,-6.520040035,-6.518100262,-2947.058096,-2946.181318
OQOGAD_FSR_relaxed,-6.709770203,-6.707864285,-838.7212753,-838.4830356
GUKQIN_FSR_relaxed,-6.752668381,-6.75012207,-607.7401543,-607.5109863
EFULUN01_FSR_relaxed,-6.646226883,-6.648373604,-917.1793098,-917.4755573
VUNDOZ_FSR_relaxed,-6.884261131,-6.881311417,-1514.537449,-1513.888512
COGLOA_FSR_relaxed,-6.900391579,-6.888580799,-552.0313263,-551.0864639
WEJNEF_FSR_relaxed,-7.063257217,-7.056706429,-395.5424042,-395.17556
LOSGEH_FSR_relaxed,-6.88548708,-6.87835598,-557.7244534,-557.1468344
NAGRUL_FSR_relaxed,-7.110799789,-7.107139587,-974.1795712,-973.6781235
PERDAS_FSR_relaxed,-5.921036243,-5.924052715,-438.156682,-438.3799009
XENCUO_FSR_relaxed,-7.074985027,-7.078219414,-650.8986225,-651.1961861
BIZSEJ_FSR_relaxed,-5.870565891,-5.864386559,-375.716217,-375.3207397
BONTUU_FSR_relaxed,-6.797012806,-6.786872387,-652.5132294,-651.5397491
RAVMEI_FSR_relaxed,-6.502966404,-6.502266884,-884.4034309,-884.3082962
DOQRUW_FSR_relaxed,-6.875080109,-6.875553131,-1210.014099,-1210.097351
